Date,Raw_Material_Usage_(kg),Production_Volume,Production_Efficiency_(%),Recycling_Efforts_(%),Packaging_Material_Usage_(kg),Energy_Consumption_(kWh),Transportation_Waste_(kg),End_of_Life_Waste_(kg),Sell_In_Quantity,Sell_Out_Quantity,Inflation_Rate,Disposable_Income,Sell_Out_to_Sell_In_Ratio,Profit
1/1/1960,784,4026,82.70091286,47.30666148,113,41532,85,549,149.7568863,120.6374917,0.030214684,42984,0.81,123.4567901
1/2/1960,581,4167,92.88524261,26.19798315,185,10078,41,158,389.6452318,270.394378,0.030214684,42984,0.69,144.9275362
1/3/1960,160,1023,89.48482327,34.94328597,92,26099,30,907,321.6999779,253.7547239,0.030214684,42984,0.79,126.5822785
1/4/1960,681,1913,86.13401137,14.71773475,104,35365,19,177,415.9913507,388.258594,0.030214684,42984,0.93,107.5268817
1/5/1960,108,1041,72.76210196,16.28675537,144,19439,37,554,289.8073077,171.9430916,0.030214684,42984,0.59,169.4915254
1/6/1960,226,1307,78.33679571,11.36021279,195,42412,82,604,324.4732536,216.3155024,0.030214684,42984,0.67,149.2537313
1/7/1960,208,3484,83.51330007,13.56096482,103,33895,27,311,292.5805833,155.3034376,0.030214684,42984,0.53,188.6792453
1/8/1960,197,2487,79.70402995,46.0023824,192,38678,64,749,330.0198049,130.3439566,0.030214684,42984,0.39,256.4102564
1/9/1960,852,2199,76.6584641,25.26678909,53,22074,54,655,277.3275671,158.0767133,0.030214684,42984,0.57,175.4385965
1/10/1960,387,1832,79.42040082,18.73268047,74,27802,27,811,391.0318697,219.088778,0.030214684,42984,0.56,178.5714286
1/11/1960,222,4138,73.20425779,32.30087901,187,32944,99,258,379.938767,183.0361943,0.030214684,42984,0.48,208.3333333
1/12/1960,196,1746,81.77606146,30.65865648,107,22036,93,893,285.6473942,151.1435241,0.030214684,42984,0.53,188.6792453
1/13/1960,1000,1902,76.98784597,28.02701719,131,16281,48,678,341.1129076,48.53232425,0.030214684,42984,0.14,714.2857143
1/14/1960,681,1418,83.65878405,13.31308584,108,48656,10,409,235.7284321,109.544389,0.030214684,42984,0.46,217.3913043
1/15/1960,716,3113,79.57806642,37.891897,54,20569,20,334,149.7568863,74.87844313,0.030214684,42984,0.5,200
1/16/1960,722,3513,85.65539436,13.30862952,153,10378,78,894,295.353859,149.7568863,0.030214684,42984,0.51,196.0784314
1/17/1960,336,2811,86.37841914,45.53719798,83,14479,51,838,270.394378,226.0219672,0.030214684,42984,0.84,119.047619
1/18/1960,157,2016,92.89039654,20.99803356,147,18849,38,368,406.2848859,135.8905079,0.030214684,42984,0.33,303.030303
1/19/1960,394,1390,78.13018497,18.49344087,77,42627,10,353,400.7383345,153.9167998,0.030214684,42984,0.38,263.1578947
1/20/1960,382,2270,83.71657982,30.26449114,110,22567,72,524,226.0219672,210.768951,0.030214684,42984,0.93,107.5268817
1/21/1960,205,2296,93.54338035,35.40039937,53,12727,13,737,409.0581615,345.2728211,0.030214684,42984,0.84,119.047619
1/22/1960,749,3677,81.01869559,33.75802346,75,41265,98,456,271.7810158,180.2629186,0.030214684,42984,0.66,151.5151515
1/23/1960,542,4894,86.34645733,43.12873559,191,20508,14,752,263.4611888,110.9310269,0.030214684,42984,0.42,238.0952381
1/24/1960,265,4154,91.58994071,48.30331373,191,30646,16,176,404.898248,373.0055778,0.030214684,42984,0.92,108.6956522
1/25/1960,443,4254,85.85578869,18.48936721,147,21608,21,527,241.2749834,207.9956754,0.030214684,42984,0.86,116.2790698
1/26/1960,464,2300,77.06577538,22.38100134,56,17138,88,813,149.7568863,146.9836106,0.030214684,42984,0.98,102.0408163
1/27/1960,556,3609,88.32251991,40.49110763,135,33267,20,872,299.5137725,298.1271347,0.030214684,42984,1,100
1/28/1960,275,3192,81.36067181,17.31473222,84,36113,21,800,206.6090375,65.17197828,0.030214684,42984,0.32,312.5
1/29/1960,566,3068,94.44916128,43.82115931,99,30294,58,952,275.9409293,230.1818807,0.030214684,42984,0.83,120.4819277
1/30/1960,418,4662,90.47190366,11.9363449,119,33048,38,128,364.6857508,122.0241295,0.030214684,42984,0.33,303.030303
1/31/1960,814,1957,79.16589769,24.54200661,107,46412,99,827,287.034032,83.19827014,0.030214684,42984,0.29,344.8275862
2/1/1960,684,2330,91.19079821,37.82351224,134,47388,55,371,527.2425397,403.9488996,0.029635347,67183,0.77,129.8701299
2/2/1960,248,3741,79.16921465,38.74627403,189,43602,44,970,532.1093939,386.1037675,0.029635347,67183,0.73,136.9863014
2/3/1960,576,4397,76.74266728,40.06213749,130,28916,78,134,415.3048928,111.9376469,0.029635347,67183,0.27,370.3703704
2/4/1960,223,2748,92.96796834,23.06281207,55,32854,26,774,196.2964532,84.35880635,0.029635347,67183,0.43,232.5581395
2/5/1960,597,4413,79.74656723,39.67977087,156,37912,52,938,425.0386012,381.2369133,0.029635347,67183,0.9,111.1111111
