Month of the Year,Raw Material,Packaging Material,Energy Consumption,Waste in Transportation,Inflation,Disposable Income,Production,Sold
1.0,291340.0,57447.0,615507.0,51292.0,0.02,4858.0,2051690.0,1384302.0
2.0,175537.0,34613.0,370853.0,30904.0,0.04,4431.0,1236178.0,380698.0
3.0,266532.0,52556.0,563096.0,46925.0,0.02,2568.0,1876988.0,711315.0
4.0,352970.0,69600.0,745711.0,62143.0,0.05,3943.0,2485702.0,70576.0
5.0,378721.0,74677.0,800114.0,66676.0,0.04,3889.0,2667048.0,695738.0
6.0,256384.0,50555.0,541657.0,45138.0,0.04,2241.0,1805523.0,411326.0
7.0,408609.0,80571.0,863259.0,71938.0,0.03,3639.0,2877531.0,1336874.0
8.0,396435.0,78170.0,837539.0,69795.0,0.02,3436.0,2791798.0,1740219.0
9.0,198853.0,39210.0,420111.0,35009.0,0.03,4665.0,1400370.0,624919.0
10.0,170663.0,33652.0,360555.0,30046.0,0.04,3067.0,1201849.0,301695.0
11.0,229192.0,45193.0,484209.0,40351.0,0.02,4450.0,1614031.0,928063.0
12.0,298802.0,58919.0,631271.0,52606.0,0.01,4803.0,2104237.0,1802738.0
1.0,161433.0,31832.0,341056.0,28421.0,0.05,3264.0,1136855.0,35638.0
2.0,321697.0,63433.0,679642.0,56637.0,0.03,4286.0,2265473.0,1081322.0
3.0,356039.0,70205.0,752196.0,62683.0,0.03,4921.0,2507320.0,957732.0
4.0,172236.0,33962.0,363879.0,30323.0,0.03,2561.0,1212931.0,572522.0
5.0,412479.0,81334.0,871434.0,72619.0,0.01,2628.0,2904779.0,2640276.0
6.0,211496.0,41703.0,446822.0,37235.0,0.02,2903.0,1489407.0,1110828.0
7.0,186935.0,36860.0,394934.0,32911.0,0.03,2506.0,1316445.0,662962.0
8.0,386517.0,76215.0,816585.0,68049.0,0.05,2309.0,2721951.0,153085.0
9.0,360503.0,71085.0,761627.0,63469.0,0.03,4150.0,2538756.0,872668.0
10.0,226197.0,44602.0,477881.0,39823.0,0.04,4604.0,1592936.0,285432.0
11.0,333811.0,65822.0,705235.0,58770.0,0.02,2623.0,2350782.0,1549434.0
12.0,361921.0,71365.0,764621.0,63718.0,0.04,2969.0,2548737.0,588394.0
1.0,213280.0,42055.0,450592.0,37549.0,0.02,3884.0,1501973.0,896310.0
2.0,226079.0,44579.0,477631.0,39803.0,0.03,4043.0,1592104.0,707232.0
3.0,262293.0,51720.0,554139.0,46178.0,0.01,4463.0,1847131.0,1036811.0
4.0,216636.0,42717.0,457682.0,38140.0,0.04,4379.0,1525605.0,297290.0
5.0,162973.0,32136.0,344310.0,28692.0,0.04,3291.0,1147699.0,352696.0
6.0,377492.0,74435.0,797519.0,66460.0,0.04,4685.0,2658397.0,678625.0
7.0,395108.0,77909.0,834735.0,69561.0,0.01,2916.0,2782450.0,2340238.0
8.0,153826.0,30332.0,324985.0,27082.0,0.04,3746.0,1083282.0,314771.0
9.0,389620.0,76826.0,823140.0,68595.0,0.03,4027.0,2743800.0,663527.0
10.0,216084.0,42608.0,456515.0,38043.0,0.04,3239.0,1521716.0,236254.0
11.0,411938.0,81227.0,870292.0,72524.0,0.01,3860.0,2900975.0,2382136.0
12.0,368141.0,72591.0,777764.0,64814.0,0.03,4371.0,2592545.0,1449576.0
1.0,343529.0,67738.0,725766.0,60480.0,0.03,3439.0,2419220.0,1210319.0
2.0,267649.0,52776.0,565456.0,47121.0,0.02,3164.0,1884854.0,1228128.0
3.0,149698.0,29518.0,316264.0,26355.0,0.03,2057.0,1054213.0,358020.0
4.0,422038.0,83219.0,891630.0,74302.0,0.01,2049.0,2972100.0,2228095.0
5.0,189133.0,37294.0,399577.0,33298.0,0.01,3138.0,1331924.0,1331924.0
6.0,318427.0,62788.0,672732.0,56061.0,0.04,2675.0,2242441.0,527433.0
7.0,251260.0,49544.0,530831.0,44236.0,0.02,2153.0,1769437.0,1164037.0
8.0,228783.0,45112.0,483345.0,40279.0,0.02,4814.0,1611150.0,1039065.0
9.0,206045.0,40629.0,435305.0,36275.0,0.02,2529.0,1451018.0,923854.0
10.0,269445.0,53130.0,569249.0,47437.0,0.02,4141.0,1897497.0,1307119.0
11.0,168637.0,33252.0,356274.0,29690.0,0.03,4787.0,1187581.0,560582.0
12.0,249338.0,49165.0,526770.0,43898.0,0.04,3742.0,1755900.0,535713.0
1.0,182490.0,35984.0,385543.0,32129.0,0.04,2744.0,1285142.0,315586.0
2.0,235956.0,46527.0,498499.0,41542.0,0.03,2603.0,1661664.0,714188.0
3.0,195772.0,38603.0,413604.0,34467.0,0.03,3856.0,1378679.0,539503.0
4.0,355640.0,70126.0,751352.0,62613.0,0.03,4031.0,2504505.0,1274939.0
5.0,341403.0,67319.0,721274.0,60106.0,0.04,2082.0,2404247.0,609310.0
6.0,308936.0,60917.0,652682.0,54390.0,0.04,3507.0,2175607.0,534460.0
7.0,248817.0,49062.0,525669.0,43806.0,0.01,4934.0,1752230.0,1752230.0
8.0,416663.0,82159.0,880274.0,73356.0,0.04,3770.0,2934247.0,905374.0
9.0,180933.0,35677.0,382252.0,31854.0,0.05,2293.0,1274173.0,60885.0
10.0,231466.0,45641.0,489012.0,40751.0,0.01,3977.0,1630039.0,1473669.0
11.0,419188.0,82657.0,885608.0,73801.0,0.02,3426.0,2952028.0,1029271.0
12.0,298756.0,58910.0,631176.0,52598.0,0.04,4831.0,2103919.0,534306.0
1.0,206614.0,40741.0,436509.0,36376.0,0.03,3027.0,1455031.0,575806.0
2.0,203107.0,40049.0,429100.0,35758.0,0.01,2439.0,1430333.0,1174579.0
3.0,210466.0,41500.0,444646.0,37054.0,0.02,2629.0,1482152.0,709647.0
4.0,411451.0,81131.0,869262.0,72439.0,0.04,3208.0,2897541.0,734506.0
5.0,209995.0,41408.0,443652.0,36971.0,0.03,3049.0,1478840.0,595536.0
6.0,228888.0,45133.0,483566.0,40297.0,0.05,3413.0,1611888.0,76810.0
7.0,178957.0,35287.0,378078.0,31507.0,0.03,4675.0,1260261.0,682573.0
8.0,265790.0,52409.0,561529.0,46794.0,0.02,3843.0,1871763.0,1253874.0
9.0,220106.0,43401.0,465012.0,38751.0,0.03,4069.0,1550040.0,831260.0
10.0,176861.0,34874.0,373651.0,31138.0,0.03,3883.0,1245503.0,580185.0
11.0,286212.0,56436.0,604672.0,50389.0,0.02,4962.0,2015575.0,837853.0
12.0,287280.0,56647.0,606930.0,50578.0,0.05,2934.0,2023100.0,106311.0
1.0,292228.0,57622.0,617384.0,51449.0,0.01,2037.0,2057946.0,984762.0
2.0,182995.0,36084.0,386609.0,32217.0,0.02,3426.0,1288698.0,551849.0
3.0,320077.0,63114.0,676220.0,56352.0,0.04,2122.0,2254065.0,408283.0
4.0,383571.0,75634.0,810360.0,67530.0,0.02,2751.0,2701201.0,929918.0
5.0,274590.0,54145.0,580120.0,48343.0,0.03,2640.0,1933733.0,996029.0
6.0,248844.0,49068.0,525727.0,43811.0,0.05,2004.0,1752424.0,74691.0
7.0,240993.0,47520.0,509140.0,42428.0,0.03,3404.0,1697134.0,853892.0
8.0,414848.0,81801.0,876440.0,73037.0,0.02,2605.0,2921467.0,1926018.0
9.0,402800.0,79425.0,850985.0,70915.0,0.02,2536.0,2836618.0,1610305.0
10.0,361383.0,71259.0,763485.0,63624.0,0.04,2703.0,2544951.0,582155.0
11.0,263951.0,52047.0,557642.0,46470.0,0.04,4110.0,1858808.0,417084.0
12.0,169246.0,33372.0,357562.0,29797.0,0.02,3967.0,1191874.0,819548.0
1.0,207527.0,40921.0,438438.0,36536.0,0.05,2406.0,1461460.0,60338.0
2.0,337877.0,66624.0,713824.0,59485.0,0.05,4041.0,2379413.0,103025.0
3.0,187201.0,36913.0,395495.0,32958.0,0.04,4438.0,1318316.0,321022.0
4.0,400874.0,79046.0,846917.0,70576.0,0.04,2205.0,2823058.0,498998.0
5.0,243950.0,48103.0,515387.0,42949.0,0.02,2820.0,1717957.0,1215060.0
